日期,股票代號,開盤價,收盤價,收盤-開盤,最高價,最低價,日振幅,漲跌幅(%),成交量,量增率(%),5日均量,5日最大量_日期,5日最大量,10日均量,10日最大量_日期,10日最大量,20日均量,20日最大量_日期,20日最大量,實體(%),上影(%),下影(%),K線型態,跳空缺口,5日平均,10日平均,20日平均,5日上升幅度,10日上升幅度,20日上升幅度,5日扣抵值,5日扣抵影響(%),10日扣抵值,10日扣抵影響(%),20日扣抵值,20日扣抵影響(%),均線得分,均線方向,均線排列,均線距離(%),均線狀態,趨勢強度說明,趨勢等級,5日乖離,10日乖離,20日乖離,總成交金額(億),法人總買超(億),買超-外資(億),買超-投信(億),買超-自營商(億),買超-融資(億),資金走向,資金走向判讀
2025-07-25,TAIEX,23454.59,23364.38,-90.20999999999913,23485.56,23308.45,177.11000000000058,,5964609783,,,,,,,,,,,0.5093444751849068,0.1748630794421606,0.31579244537293266,🟩 中實體K,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3025.59239716,104.79475927,73.61205242,20.31030521,10.872401640000001,,,
2025-07-28,TAIEX,23477.1,23412.98,-64.11999999999898,23564.44,23350.73,213.70999999999913,0.002080089435285616,5994460798,0.005004688669672861,,,,,,,,,,0.3000327546675366,0.40868466613635535,0.29128257919610806,🟩 中實體K,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3233.98574763,134.48827575,46.7539063,34.48784246,53.24652699,4.6760699999999815,-203.28434574999898,偏重小型股(空)
2025-07-29,TAIEX,23414.36,23201.52,-212.84000000000015,23422.17,23094.67,327.5,-0.009031742221622329,6685041420,0.115203125897563,,,,,,,,,,0.6498931297709928,0.0238473282442677,0.3262595419847395,🟩 長黑K,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3905.74563588,-61.26539052,-165.33219311,38.37859356,65.68820903,-5.27581999999984,-146.29878948000032,偏重小型股(空)
2025-07-30,TAIEX,23288.72,23461.72,173.0,23461.72,23264.64,197.08000000000175,0.011214782479768598,6095108673,-0.08824668538852523,,,,,,,,,,0.877816115283126,0.0,0.12218388471687402,🟥 長紅K,,,,,,,,,,,,,,0,糾結,糾結,,正常,❓ 趨勢不明,0.0,,,,3362.26659269,209.23176409,141.1220409,14.37205201,53.73767118000001,2.610900000000129,-38.84266409000014,偏重小型股(空)
2025-07-31,TAIEX,23523.59,23542.52,18.93000000000029,23631.11,23454.44,176.6700000000019,0.003443907778287324,7079439551,0.16149521375400094,6363732045.0,2025-07-31,7079439551.0,,,,,,,0.10714892171845865,0.5014433689930333,0.39140770928850804,🟥 流星線,,23396.624,,,,,,23364.38,0.00756673457216982,,,,,0,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.0062357714514709745,,,4120.96428336,178.05534735,93.88571808,0.17825528,83.99137399,15.334640000000036,-174.45998734999975,偏重小型股(空)
2025-08-01,TAIEX,23318.37,23434.38,116.01000000000204,23484.21,23168.27,315.9399999999987,-0.004593391021861696,6950284768,-0.018243645145858522,6560867042.0,2025-07-31,7079439551.0,,,,,,,0.36718997277964965,0.1577198202190236,0.4750902070013267,🟥 中實體K,,23410.624,,,14.0,,,23412.98,0.0009131882302839441,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.0010147529600236722,,,4047.88588802,-58.60639658,-70.33238508,8.00724259,3.71874591,12.728020000000015,161.88837658000202,偏重大型股(多)
2025-08-04,TAIEX,23260.18,23378.94,118.7599999999984,23378.94,23151.65,227.28999999999724,-0.0023657549292962874,6547254437,-0.057987599710389304,6671425769.8,2025-07-31,7079439551.0,,,,,,,0.5225042896739841,0.0,0.4774957103260159,🟥 中實體K,,23403.816,,,-6.808000000000902,,,23201.52,0.007588881275198887,,,,,-1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,-0.0010629035880302684,,,3395.96557905,37.56257514,113.03634679,23.05202788,-98.52579953,8.221949999999651,72.97547485999874,偏重大型股(多)
2025-08-05,TAIEX,23498.4,23660.59,162.1899999999987,23671.84,23498.4,173.4399999999987,0.012047167236838003,6610002920,0.009583938367416162,6656418069.8,2025-07-31,7079439551.0,,,,,,,0.9351360701107007,0.06486392988929938,0.0,🟥 長紅K,119.46000000000276,23495.629999999997,,,91.81399999999849,,,23461.72,0.008405115848759434,,,,,1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,0.007020880053014232,,,3800.74357026,196.80053657,114.8778018,36.66838413,45.254350640000006,19.764430000000175,-54.374966570001476,偏重小型股(空)
2025-08-06,TAIEX,23443.36,23447.36,4.0,23557.49,23433.53,123.96000000000276,-0.009012032244335394,6009196963,-0.09089344804706985,6639235727.8,2025-07-31,7079439551.0,,,,,,,0.032268473701193214,0.8884317521781103,0.07929977412069641,⬜ 十字線,,23492.757999999998,,,-2.871999999999389,,,23542.52,-0.004058452636032365,,,,,-1,糾結,糾結,0.0,糾結,🤝 盤整區間,0.0,-0.0019324253031507588,,,3611.83155977,-114.97677168,-108.20572461,18.09040245,-24.86144952,6.492589999999836,112.48418168000016,偏重大型股(多)
2025-08-07,TAIEX,23717.35,24003.77,286.4200000000019,24050.54,23717.35,333.1900000000023,0.02373017687279079,7106666762,0.18263169035020363,6644681170.0,2025-08-07,7106666762.0,6504206607.5,2025-08-07,7106666762.0,,,,0.8596296407455203,0.14037035925447974,0.0,🟥 長紅K,269.98999999999796,23585.007999999998,23490.816,,92.25,,,23434.38,0.023720857182017635,23364.38,0.02663706576092003,,,1,糾結,糾結,0.40017143406772493,糾結,🤝 盤整區間,0.0,0.01775543175563063,0.021836363623979754,,4673.80441728,498.74740763,432.39484056,11.16606178,55.18650529,14.787450000000263,-227.11485762999837,偏重小型股(空)
2025-08-08,TAIEX,24026.65,24021.26,-5.390000000003056,24131.46,23967.99,163.46999999999753,0.000728635543499957,7010275195,-0.013563541140751747,6656679255.4,2025-08-07,7106666762.0,6608773148.7,2025-08-07,7106666762.0,,,,0.032972410839928655,0.6411573989111107,0.3258701902489607,⬜ 十字線,,23702.384,23556.504,,117.3760000000002,65.68800000000192,,23378.94,0.026739646463174695,23412.98,0.025322568424803647,,,2,上揚,糾結,0.617365351465728,正常,❓ 趨勢不明,0.0,0.013453330264162467,0.019729413159100245,,4321.0996542,-38.25548099,-32.56238186,-18.61859628,12.92549715,10.990409999999883,21.875070989997063,偏重大型股(多)
2025-08-11,TAIEX,23980.39,24135.5,155.11000000000058,24249.05,23887.25,361.7999999999993,0.004755787165202891,7230198655,0.031371587260491274,6793268099.0,2025-08-11,7230198655.0,6732346934.4,2025-08-11,7230198655.0,,,,0.4287175234936454,0.3138474295190699,0.2574350469872847,🟥 中實體K,,23853.696,23628.756,,151.31200000000172,72.25200000000041,,23660.59,0.01967682459447701,23201.52,0.03869735451927657,,,2,上揚,糾結,0.9474658132650717,正常,❓ 趨勢不明,0.0,0.011813850566386026,0.02144607189646373,,4372.10225957,0.17890746,-39.85502559,4.28896562,35.74496743,38.95580000000018,115.9752925400004,偏重大型股(多)
2025-08-12,TAIEX,24182.84,24158.36,-24.479999999999563,24263.92,24065.43,198.48999999999796,0.0009471525346481565,7513604403,0.039197505009632407,6973988395.6,2025-08-12,7513604403.0,6815203232.7,2025-08-12,7513604403.0,,,,0.12333115018388742,0.4084840546123177,0.46818479520379486,🟩 中實體K,,23953.25,23724.44,,99.55400000000009,95.68399999999747,,23447.36,0.029430805733501778,23461.72,0.028836394523469283,,,2,上揚,糾結,0.9598199912789454,正常,❓ 趨勢不明,0.0,0.00856292987381673,0.018289999679655323,,4307.4766319,-53.14078018,-57.31106152,-0.61610845,4.786389789999999,7.568939999999657,21.09184018000078,偏重大型股(多)
2025-08-13,TAIEX,24232.04,24370.02,137.97999999999956,24406.94,24172.19,234.75,0.008761356317233448,8864976375,0.17985668389201193,7545144278.0,2025-08-13,8864976375.0,7092190002.9,2025-08-13,8864976375.0,,,,0.5877742279020216,0.15727369542065284,0.2549520766773256,🟥 中實體K,,24137.782,23815.27,,184.53199999999924,90.83000000000175,,24003.77,0.01502871150700738,23542.52,0.033955655350303364,,,2,上揚,糾結,1.3451156351841749,正常,❓ 趨勢不明,0.0,0.009621347976379984,0.023293878255421837,,5738.73489672,84.1123461,70.36580411,-15.02399863,28.77054062,-8.825129999999717,62.692783899999284,偏重大型股(多)
