date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-07-23,TAIEX,6238239859,360908872117,23063.57,23318.67,23063.57,23318.67,255.09999999999854,,,,,,,,,,17955763481,8431688850,0,-1192160484,4853666113,5862569002
2025-07-24,TAIEX,6322628546,348331144582,23373.67,23455.09,23295.31,23373.73,0.06000000000130967,,,,,,,,,,12710022089,10152845989,0,-755461310,1400866874,1911770536
2025-07-25,TAIEX,5964609783,302559239716,23454.59,23485.56,23308.45,23364.38,-90.20999999999913,,,,,,,,,,10479475927,7361205242,0,2031030521,-1094508289,2181748453
2025-07-28,TAIEX,5994460798,323398574763,23477.1,23564.44,23350.73,23412.98,-64.11999999999898,,,,,,,,,,13448827575,4675390630,0,3448784246,1030527146,4294125553
2025-07-29,TAIEX,6685041420,390574563588,23414.36,23422.17,23094.67,23201.52,-212.84000000000015,6240996081.2,,,23334.256,,,-0.005688460776293908,,,-6126539052,-16533219311,0,3837859356,1396835740,5171985163
2025-07-30,TAIEX,6095108673,336226659269,23288.72,23461.72,23264.64,23461.72,173.0,6212369844.0,,,23362.866,,,0.004231244574188772,,,20923176409,14112204090,0,1437205201,1316827555,4056939563
2025-07-31,TAIEX,7079439551,412096428336,23523.59,23631.11,23454.44,23542.52,18.93000000000029,6363732045.0,,,23396.624000000003,,,0.006235771451470818,,,17805534735,9388571808,0,17825528,2796495944,5602641455
2025-08-01,TAIEX,6950284768,404788588802,23318.37,23484.21,23168.27,23434.38,116.01000000000204,6560867042.0,,,23410.624,,,0.0010147529600236722,,,-5860639658,-7033238508,0,800724259,961593581,-589718990
2025-08-04,TAIEX,6547254437,339596557905,23260.18,23378.94,23151.65,23378.94,118.7599999999984,6671425769.8,,,23403.816,,,-0.0010629035880302684,,,3756257514,11303634679,0,2305202788,-3734917423,-6117662530
2025-08-05,TAIEX,6610002920,380074357026,23498.4,23671.84,23498.4,23660.59,162.1899999999987,6656418069.8,6448707075.5,,23495.629999999997,23414.943,,0.007020880053014232,0.010491035575017238,,19680053657,11487780180,0,3666838413,-756873802,5282308866
2025-08-06,TAIEX,6009196963,361183155977,23443.36,23557.49,23433.53,23447.36,4.0,6639235727.8,6425802785.9,,23492.758,23427.812,,-0.0019324253031509134,0.0008343929001990824,,-11497677168,-10820572461,0,1809040245,-966087319,-1520057633
2025-08-07,TAIEX,7106666762,467380441728,23717.35,24050.54,23717.35,24003.77,286.4200000000019,6644681170.0,6504206607.5,,23585.007999999998,23490.816,,0.01775543175563063,0.021836363623979754,,49874740763,43239484056,0,1116606178,441533492,5077117037
2025-08-08,TAIEX,7010275195,432109965420,24026.65,24131.46,23967.99,24021.26,-5.390000000003056,6656679255.4,6608773148.7,,23702.384000000002,23556.504,,0.013453330264162311,0.019729413159100245,,-3825548099,-3256238186,0,-1861859628,-164152695,1456702410
2025-08-11,TAIEX,7230198655,437210225957,23980.39,24249.05,23887.25,24135.5,155.11000000000058,6793268099.0,6732346934.4,,23853.696000000004,23628.756,,0.011813850566385871,0.02144607189646373,,17890746,-3985502559,0,428896562,2291157112,1283339631
2025-08-12,TAIEX,7513604403,430747663190,24182.84,24263.92,24065.43,24158.36,-24.479999999999563,6973988395.6,6815203232.7,,23953.25,23724.44,,0.00856292987381673,0.018289999679655323,,-5314078018,-5731106152,0,-61610845,34046489,444592490
2025-08-13,TAIEX,8864976375,573873489672,24232.04,24406.94,24172.19,24370.02,137.97999999999956,7545144278.0,7092190002.9,,24137.782,23815.27,,0.009621347976379984,0.023293878255421837,,8411234610,7036580411,0,-1502399863,-46578231,2923632293
2025-08-14,TAIEX,7941972349,486603622585,24258.5,24389.51,24198.88,24238.1,-20.400000000001455,7712205395.4,7178443282.7,,24184.648,23884.828,,0.002210162413775776,0.014790644504536403,,-2621008838,-4460109509,0,-2045083709,1450404712,2433779668
2025-08-15,TAIEX,7913302231,454217776031,24266.23,24385.56,24164.43,24334.48,68.25,7892810802.6,7274745029.0,,24247.292,23974.838,,0.003595782984755505,0.015000810433004795,,4592053654,5373846115,0,-3356859132,1867986315,707080356
2025-08-18,TAIEX,8459665044,457868280041,24272.55,24515.65,24257.3,24482.52,209.97000000000116,8138704080.4,7465986089.7,,24316.696,24085.196,,0.0068193474968803545,0.016496606463156892,,6378491052,4638950093,0,1731672993,985643242,-977775276
2025-08-19,TAIEX,8279842992,477889208524,24493.92,24551.42,24324.29,24353.5,-140.41999999999825,8291951798.2,7632970096.9,7040838586.2,24355.724,24154.487,23784.715,-9.131323708539073e-05,0.008239173119263473,0.023913887553414025,-18759116621,-11007665546,0,-1642414216,-1693738617,-4415298242
2025-08-20,TAIEX,8611743600,572237896405,24309.27,24309.27,23620.24,23625.44,-683.8300000000017,8241305243.2,7893224760.6,7159513773.25,24206.808,24172.295,23800.0535,-0.024016714636642806,-0.022623213890116747,-0.0073366851885439295,-69028137637,-62668571933,0,-2734736666,1915367105,-5540196143
2025-08-21,TAIEX,6990398614,420673855060,23739.83,24011.5,23739.83,23962.13,222.29999999999927,8050990496.2,7881597945.8,7192902276.65,24151.613999999998,24168.131,23829.4735,-0.007845604024641862,-0.008523662835160907,0.005566908559687689,-6068325600,-10078910548,0,1604056355,1099230232,1307298361
2025-08-22,TAIEX,6571719689,369732364563,24033.02,24071.65,23764.47,23764.47,-268.5499999999993,7782673987.8,7837742395.2,7223257771.95,24037.612,24142.451999999997,23849.478,-0.011363108781354813,-0.01565632190135436,-0.0035643547418521275,-18588523469,-16397993687,0,-1163084639,-573635339,-453809804
2025-08-25,TAIEX,7201907890,431825644540,24108.81,24362.02,24108.75,24277.38,168.5699999999997,7531122557.0,7834913318.7,7283630126.55,23996.584,24156.64,23892.697999999997,0.011701498846669264,0.0049982116718219755,0.01610040021432508,33080398090,24114791914,0,3231606250,1384604238,4349395688
2025-08-26,TAIEX,8259451660,532063118603,24237.36,24382.42,24113.03,24305.1,67.73999999999796,7527044290.6,7909498044.4,7362350638.55,23986.904,24171.314000000002,23947.877,0.013265405156080165,0.005534908031892532,0.014916687604500312,-13609501837,-14508100864,0,-2425226828,335292654,2988533201
2025-08-27,TAIEX,7675360712,467302614203,24449.81,24539.88,24410.08,24519.9,70.09000000000015,7339767713.0,7790536478.1,7441363240.5,24165.796,24186.302,24000.786,0.014653107226428751,0.013792848530544346,0.021629041648886058,7469544072,-1947570889,0,-1647591422,2815259360,8249447023
2025-08-28,TAIEX,7619400963,449197099212,24468.12,24502.37,24236.45,24236.45,-231.66999999999825,7465568182.8,7758279339.5,7468361311.1,24220.66,24186.137000000002,24035.4825,0.000651922779973827,0.0020802412555588467,0.008361284197228097,-13629453740,-9520531049,0,-2760035692,-237115928,-1111771071
2025-08-29,TAIEX,7716714041,478348167874,24438.03,24570.15,24233.1,24233.1,-204.9300000000003,7694567053.2,7738620520.5,7506682774.75,24314.386000000002,24175.999,24075.4185,-0.0033431236963994766,0.002361887920329528,0.006549481164782194,-8636365019,-8635002338,0,-335109173,443164972,-109418480
2025-09-01,TAIEX,7882519521,522538354934,24143.37,24312.83,23885.41,24071.73,-71.63999999999942,7830689379.4,7680905968.2,7573446028.95,24273.256,24134.920000000002,24110.057999999997,-0.008302388439359007,-0.0026181980300743622,-0.0015897099874250698,-21593857824,-7666900296,0,-3059842787,-2751433877,-8115680864
2025-09-02,TAIEX,6868073676,420249878093,24113.9,24295.03,23890.33,24016.78,-97.12000000000262,7552413782.6,7539729036.6,7586349566.75,24215.591999999997,24101.248,24127.8675,-0.008210082165242877,-0.0035047147765958327,-0.004604115966734377,1096898955,7786239530,0,-6102683470,-1077548032,490890927
2025-09-03,TAIEX,6215237843,375154827165,24036.88,24103.23,23925.49,24100.3,63.419999999998254,7260389208.8,7300078460.9,7596651610.75,24131.672,24148.734,24160.5145,-0.0013000342454513468,-0.0020056537953501456,-0.002492268945680021,9982870499,8199762036,0,-637699825,594424275,1826384013
2025-09-04,TAIEX,7455297262,450547881333,24235.27,24389.35,24168.16,24179.85,-55.42000000000189,7227568468.6,7346568325.7,7614083135.75,24120.352,24170.506,24169.3185,0.0024667135869327114,0.00038658685920755327,0.0004357383928718272,11633833868,11808136125,0,-1545453579,-221496133,1592647455
2025-09-05,TAIEX,6973379276,426569974111,24244.26,24494.58,24244.26,24494.58,250.32000000000335,7078901515.6,7386734284.4,7612238339.8,24172.647999999997,24243.517,24192.9845,0.013318027880106656,0.010355881945676526,0.012466237888095331,33024810722,28281116909,0,-433975608,1990403544,3187265877
2025-09-08,TAIEX,7768998687,443185374596,24610.85,24729.96,24547.38,24547.38,-63.469999999997526,7056197348.8,7443443364.1,7639178341.4,24267.778,24270.517,24213.5785,0.01152153279134178,0.011407379579100074,0.013785715316717908,15996611405,14618525216,0,-1220126071,148022770,2450189490
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,204.72000000000116,7300931209.4,7426672496.0,7668085270.2,24435.458000000002,24325.525,24248.4195,0.017176760100015228,0.021773630784947037,0.025022682406166733,38526893843,35653694959,0,-1782067231,-593301300,5248567415
2025-09-10,TAIEX,8693632992,540470187649,25032.88,25272.23,25032.88,25192.59,159.70999999999913,7796610239.2,7528499724.0,7659518101.05,24653.916,24392.794,24289.548,0.021849429518620858,0.03278820786171516,0.03717821344390605,57674044343,48947944283,0,-2727385240,1408535101,10044950199
2025-09-11,TAIEX,9553641157,609494103234,25509.3,25541.44,25174.13,25215.71,-293.59000000000015,8216279018.2,7721923743.4,7740101541.45,24861.088,24490.719999999998,24338.4285,0.014264138399735338,0.02960264132700066,0.036045116881724605,28501291028,32999661731,0,-6271656501,-3293217011,5066502809
2025-09-12,TAIEX,7830621434,495051339127,25349.7,25492.28,25349.7,25474.64,124.93999999999869,8387727449.8,7733314482.7,7735967501.6,25057.1,24614.874000000003,24395.4365,0.01666354047355843,0.03492871830260012,0.04423792540051495,25670421666,26538500007,0,-5810072034,1220408612,3721585081
2025-09-15,TAIEX,6958333955,407891369036,25494.1,25519.94,25284.17,25357.16,-136.9399999999987,8225594503.4,7640895926.1,7660900947.15,25219.056,24743.416999999998,24439.1685,0.005476176427856751,0.02480429441091351,0.03756230495321476,-4703837224,2546248589,0,-8246829092,-276707377,1273450656
2025-09-16,TAIEX,7560459055,455107630117,25335.46,25664.81,25335.46,25629.64,294.1800000000003,8119337718.6,7710134464.0,7624931750.3,25373.948,24904.703,24502.9755,0.010076949791179485,0.029108437872156036,0.04598072181070413,23591286670,27003531062,0,-4513790695,-1551866087,2653412390
2025-09-17,TAIEX,7849906030,439687060953,25543.91,25632.07,25422.96,25438.25,-105.65999999999985,7950592326.2,7873601282.7,7586839871.8,25423.079999999998,25038.498,24593.616,0.0005967018944990888,0.015965494415839176,0.034343628037454846,-11634659183,-5734012058,0,-5314277279,-634644981,48275135
2025-09-18,TAIEX,8339290249,467374300986,25543.17,25769.36,25475.25,25769.36,226.19000000000233,7707722144.6,7962000581.4,7654284453.55,25533.81,25197.449,24683.9775,0.009225023605956152,0.022697178591372484,0.043971134716842115,17228408262,12153720716,0,-4987795065,3850575418,6211907193
