日期,項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
20251001,融資(交易單位),"289,859","265,217","8,263","7,272,764","7,289,143"
20251001,融券(交易單位),"18,786","24,353","2,158","303,356","306,765"
20251001,融資金額(仟元),"15,079,786","13,957,988","313,667","275,429,159","276,237,290"
20251002,融資(交易單位),"351,571","277,112","8,794","7,289,139","7,354,804"
20251002,融券(交易單位),"21,352","39,664",746,"306,765","324,331"
20251002,融資金額(仟元),"17,993,958","14,905,219","340,548","276,236,855","278,985,046"
20251003,融資(交易單位),"361,843","266,176","10,270","7,354,800","7,440,197"
20251003,融券(交易單位),"24,874","26,249","1,577","324,331","324,129"
20251003,融資金額(仟元),"18,306,745","15,120,593","291,269","278,985,046","281,879,929"
