日期,項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
20250801,融資(交易單位),"244,236","231,264","4,968","6,908,585","6,916,589"
20250801,融券(交易單位),"19,779","20,714","1,009","244,106","244,032"
20250801,融資金額(仟元),"12,889,364","11,355,403","261,159","231,315,484","232,588,286"
20250804,融資(交易單位),"238,253","237,193","9,317","6,916,584","6,908,327"
20250804,融券(交易單位),"25,217","16,267","1,206","244,032","233,876"
20250804,融資金額(仟元),"11,289,478","10,201,571","265,711","232,588,286","233,410,481"
20250805,融資(交易單位),"275,670","240,212","3,272","6,908,324","6,940,510"
20250805,融券(交易單位),"14,741","20,712","1,322","233,876","238,525"
20250805,融資金額(仟元),"13,923,259","11,797,546","149,230","233,410,441","235,386,924"
20250806,融資(交易單位),"236,442","215,078","8,655","6,940,509","6,953,218"
20250806,融券(交易單位),"16,020","21,352","1,185","238,525","242,672"
20250806,融資金額(仟元),"12,136,811","11,216,071","271,456","235,386,899","236,036,183"
20250807,融資(交易單位),"271,906","262,734","6,351","6,953,221","6,956,042"
20250807,融券(交易單位),"15,667","26,415","2,708","242,672","250,712"
20250807,融資金額(仟元),"15,798,054","14,117,782","201,851","236,036,507","237,514,928"
20250808,融資(交易單位),"283,110","270,715","4,388","6,956,025","6,964,032"
20250808,融券(交易單位),"21,201","22,873",896,"250,710","251,486"
20250808,融資金額(仟元),"14,984,928","13,623,234","261,863","237,514,138","238,613,969"
20250811,融資(交易單位),"316,900","250,779","5,087","6,964,048","7,025,082"
20250811,融券(交易單位),"18,843","24,331","2,379","251,486","254,595"
20250811,融資金額(仟元),"17,620,044","13,522,352","204,803","238,616,660","242,509,549"
20250812,融資(交易單位),"304,688","301,830","7,336","7,025,077","7,020,599"
20250812,融券(交易單位),"14,805","23,420","1,195","254,595","262,015"
20250812,融資金額(仟元),"16,414,072","15,280,818","376,360","242,509,549","243,266,443"
20250813,融資(交易單位),"357,242","374,183","4,522","7,020,598","6,999,135"
20250813,融券(交易單位),"20,994","25,449","4,274","262,015","262,196"
20250813,融資金額(仟元),"18,450,826","19,128,477","204,832","243,266,413","242,383,930"
20250814,融資(交易單位),"327,064","297,731","4,118","6,999,127","7,024,342"
20250814,融券(交易單位),"16,329","22,003","2,053","262,196","265,817"
20250814,融資金額(仟元),"17,543,129","14,710,330","177,451","242,381,988","245,037,336"
20250815,融資(交易單位),"350,853","290,089","9,915","7,024,335","7,075,184"
20250815,融券(交易單位),"21,121","30,206","1,693","265,817","273,209"
20250815,融資金額(仟元),"16,972,687","13,410,803","277,555","245,039,278","248,323,607"
20250818,融資(交易單位),"403,656","342,897","8,266","7,075,177","7,127,670"
20250818,融券(交易單位),"16,752","28,928","2,976","273,209","282,409"
20250818,融資金額(仟元),"17,748,148","15,866,334","312,420","248,323,823","249,893,217"
20250819,融資(交易單位),"350,945","354,395","9,384","7,127,666","7,114,832"
20250819,融券(交易單位),"21,824","22,944","3,215","282,409","280,314"
20250819,融資金額(仟元),"17,749,358","17,150,151","295,993","249,893,217","250,196,431"
20250820,融資(交易單位),"304,329","340,506","6,037","7,114,827","7,072,613"
20250820,融券(交易單位),"36,976","21,709","5,860","280,314","259,187"
20250820,融資金額(仟元),"16,291,485","17,317,313","231,911","250,196,431","248,938,691"
20250821,融資(交易單位),"311,367","276,675","8,011","7,072,608","7,099,289"
20250821,融券(交易單位),"15,599","23,421","2,716","259,187","264,293"
20250821,融資金額(仟元),"14,469,809","11,410,158","291,906","248,938,691","251,706,436"
20250822,融資(交易單位),"260,850","276,280","5,592","7,099,282","7,078,260"
20250822,融券(交易單位),"18,574","21,815","3,090","264,283","264,434"
20250822,融資金額(仟元),"12,051,818","11,928,410","285,278","251,706,436","251,544,566"
20250825,融資(交易單位),"340,417","313,309","4,030","7,097,838","7,120,916"
20250825,融券(交易單位),"13,247","33,499","1,487","264,434","283,199"
20250825,融資金額(仟元),"18,204,399","15,640,591","174,409","251,544,566","253,933,965"
20250826,融資(交易單位),"324,171","290,251","6,204","7,120,906","7,148,622"
20250826,融券(交易單位),"16,732","27,207","2,898","283,199","290,776"
20250826,融資金額(仟元),"16,234,403","14,682,689","224,860","253,933,965","255,260,819"
20250827,融資(交易單位),"342,359","329,081","4,306","7,148,615","7,157,587"
20250827,融券(交易單位),"24,196","21,253","3,650","290,776","284,183"
20250827,融資金額(仟元),"19,988,719","16,757,532","186,192","255,260,819","258,305,814"
20250828,融資(交易單位),"338,853","304,722","3,939","7,157,581","7,187,773"
20250828,融券(交易單位),"16,230","18,045","2,138","284,183","283,860"
20250828,融資金額(仟元),"17,781,083","15,672,528","182,196","258,305,814","260,232,173"
20250829,融資(交易單位),"332,929","306,081","10,437","7,187,770","7,204,181"
20250829,融券(交易單位),"15,057","19,948","1,670","283,860","287,081"
20250829,融資金額(仟元),"19,335,876","16,956,104","284,739","260,232,173","262,327,206"
