日期,項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
20250901,融資(交易單位),"329,944","367,114","6,662","7,204,177","7,160,345"
20250901,融券(交易單位),"23,882","23,348","2,450","287,081","284,097"
20250901,融資金額(仟元),"19,463,700","22,419,603","224,381","262,327,206","259,146,921"
20250902,融資(交易單位),"273,081","286,477","4,873","7,160,339","7,142,070"
20250902,融券(交易單位),"25,998","19,464","3,263","284,097","274,300"
20250902,融資金額(仟元),"14,353,736","14,304,692","183,454","259,146,921","259,012,511"
20250903,融資(交易單位),"264,345","223,020","9,777","7,142,068","7,173,616"
20250903,融券(交易單位),"11,567","25,269","3,007","274,300","284,995"
20250903,融資金額(仟元),"13,600,822","11,169,766","410,678","259,012,527","261,032,905"
20250904,融資(交易單位),"352,786","319,312","17,011","7,173,613","7,190,076"
20250904,融券(交易單位),"26,538","21,200","2,506","284,995","277,151"
20250904,融資金額(仟元),"16,508,517","15,689,881","309,810","261,032,834","261,541,660"
20250905,融資(交易單位),"314,657","267,022","9,604","7,190,074","7,228,105"
20250905,融券(交易單位),"14,787","22,733","1,862","277,151","283,235"
20250905,融資金額(仟元),"16,674,618","13,458,301","275,991","261,541,660","264,481,986"
20250908,融資(交易單位),"389,114","329,705","14,829","7,228,685","7,273,265"
20250908,融券(交易單位),"19,550","19,673","5,282","283,235","278,076"
20250908,融資金額(仟元),"18,364,086","15,860,122","495,638","264,502,119","266,510,445"
20250909,融資(交易單位),"339,279","332,358","7,095","7,273,259","7,273,085"
20250909,融券(交易單位),"16,111","22,054","1,556","278,076","282,463"
20250909,融資金額(仟元),"18,379,930","17,127,661","225,675","266,510,445","267,537,039"
20250910,融資(交易單位),"389,005","337,940","8,823","7,273,076","7,315,318"
20250910,融券(交易單位),"17,164","23,424","1,764","282,463","286,959"
20250910,融資金額(仟元),"20,214,431","17,388,390","399,325","267,536,355","269,963,070"
20250911,融資(交易單位),"364,756","424,483","9,335","7,315,313","7,246,251"
20250911,融券(交易單位),"19,965","25,130","2,122","286,959","290,002"
20250911,融資金額(仟元),"19,027,228","22,800,483","335,018","269,963,070","265,854,797"
20250912,融資(交易單位),"332,952","299,074","8,517","7,246,246","7,271,607"
20250912,融券(交易單位),"18,495","27,940","1,784","290,002","297,663"
20250912,融資金額(仟元),"16,228,196","16,094,782","373,314","265,854,797","265,614,897"
