date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-08-04,0050,88936360,4503157892,50.65,50.8,50.4,50.8,0.14999999999999858,,,,,,,,,,21187676,0,1300000,-1211775,-14781309
2025-08-05,0050,48253208,2474210259,51.25,51.45,51.05,51.45,0.20000000000000284,,,,,,,,,,6154165,0,1881000,1620477,8698258
2025-08-06,0050,51398358,2620193433,51.1,51.1,50.85,51.0,-0.10000000000000142,,,,,,,,,,-19227649,0,0,-628307,-1154871
2025-08-07,0050,127953769,6696844466,51.65,52.6,51.65,52.45,0.8000000000000043,,,,,,,,,,63715057,0,-2100000,288166,17549420
2025-08-08,0050,61743128,3237110911,52.55,52.6,52.3,52.45,-0.09999999999999432,75656964.6,,,51.629999999999995,,,0.015882239008328636,,,6163930,0,0,-264000,4067356
2025-08-11,0050,74255676,3905732299,52.35,53.1,52.05,52.85,0.5,72720827.8,,,52.04,,,0.015564950038432019,,,1283333,0,0,305058,8290578
2025-08-12,0050,60122164,3172099727,52.85,53.0,52.55,52.9,0.04999999999999716,75094619.0,,,52.33,,,0.01089241352952418,,,5229602,0,0,145689,3631405
2025-08-13,0050,78177118,4158180656,53.15,53.4,52.95,53.35,0.20000000000000284,80450371.0,,,52.8,,,0.010416666666666748,,,11337915,0,0,-1840237,5381313
2025-08-14,0050,59818527,3176226503,53.2,53.3,52.95,53.15,-0.05000000000000426,66823322.6,,,52.94000000000001,,,0.003966754816773453,,,-25576313,0,-379000,-387978,-6253975
2025-08-15,0050,55175623,2926754479,53.15,53.3,52.8,53.15,0.0,65509821.6,70583393.1,,53.08,52.355,,0.0013187641296156798,0.015184796103524053,,-24429517,0,0,2083044,8136931
2025-08-18,0050,48004775,2551608212,52.95,53.35,52.8,53.3,0.3499999999999943,60259641.4,66490234.6,,53.17,52.605,,0.0024449877750610392,0.013211671894306632,,-9686146,0,1000000,-817956,3571804
2025-08-19,0050,31232902,1661670987,53.3,53.3,53.05,53.2,-0.09999999999999432,54481789.0,64788204.0,,53.23,52.779999999999994,,-0.0005635919594212668,0.007957559681697781,,-5041171,0,0,-271000,-2909732
2025-08-20,0050,241376498,12542811400,52.55,52.6,51.5,51.7,-0.8499999999999943,87121665.0,83786018.0,,52.9,52.85,,-0.022684310018903513,-0.02175969725638597,,-131355337,0,-1780000,-202927,-46752992
2025-08-21,0050,76525276,3972622579,51.75,52.1,51.75,52.0,0.25,90463014.8,78643168.7,,52.67,52.80500000000001,,-0.012720713878868459,-0.01524476848783272,,-20060352,0,-500000,3810000,-17004890
2025-08-22,0050,47853232,2477655860,52.05,52.1,51.65,51.75,-0.29999999999999716,88998536.6,77254179.1,,52.39,52.735,,-0.012216071769421657,-0.018678297146107886,,-14677518,0,-5500000,-1697865,-3044206
2025-08-25,0050,64451775,3394192356,52.45,52.95,52.35,52.7,0.25,92287936.6,76273789.0,,52.27,52.720000000000006,,0.008226516166060831,-0.0003793626707132611,,8262699,0,252000,3387394,3257198
