date,stock_id,Trading_Volume,Volume_Change,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險),融資餘額(仟元)
2025-08-05,TAIEX,6610002920,,380074357026,23498.4,23671.84,23498.4,23660.59,162.1899999999987,,,,,,,,,,19680053657,11487780180,0,3666838413,-756873802,5282308866,235386924.0
2025-08-06,TAIEX,6009196963,-0.09089344804706985,361183155977,23443.36,23557.49,23433.53,23447.36,4.0,,,,,,,,,,-11497677168,-10820572461,0,1809040245,-966087319,-1520057633,236036183.0
2025-08-07,TAIEX,7106666762,0.18263169035020363,467380441728,23717.35,24050.54,23717.35,24003.77,286.4200000000019,,,,,,,,,,49874740763,43239484056,0,1116606178,441533492,5077117037,237514928.0
2025-08-08,TAIEX,7010275195,-0.013563541140751747,432109965420,24026.65,24131.46,23967.99,24021.26,-5.390000000003056,,,,,,,,,,-3825548099,-3256238186,0,-1861859628,-164152695,1456702410,238613969.0
2025-08-11,TAIEX,7230198655,0.031371587260491274,437210225957,23980.39,24249.05,23887.25,24135.5,155.11000000000058,6793268099.0,,,23853.696,,,0.011813850566386026,,,17890746,-3985502559,0,428896562,2291157112,1283339631,242509549.0
2025-08-12,TAIEX,7513604403,0.039197505009632407,430747663190,24182.84,24263.92,24065.43,24158.36,-24.479999999999563,6973988395.6,,,23953.25,,,0.00856292987381673,,,-5314078018,-5731106152,0,-61610845,34046489,444592490,243266443.0
2025-08-13,TAIEX,8864976375,0.17985668389201193,573873489672,24232.04,24406.94,24172.19,24370.02,137.97999999999956,7545144278.0,,,24137.782,,,0.009621347976379984,,,8411234610,7036580411,0,-1502399863,-46578231,2923632293,242383930.0
2025-08-14,TAIEX,7941972349,-0.10411804690229645,486603622585,24258.5,24389.51,24198.88,24238.1,-20.400000000001455,7712205395.4,,,24184.647999999997,,,0.0022101624137759266,,,-2621008838,-4460109509,0,-2045083709,1450404712,2433779668,245037336.0
2025-08-15,TAIEX,7913302231,-0.0036099493602001712,454217776031,24266.23,24385.56,24164.43,24334.48,68.25,7892810802.6,,,24247.292,,,0.003595782984755505,,,4592053654,5373846115,0,-3356859132,1867986315,707080356,248323607.0
2025-08-18,TAIEX,8459665044,0.06904359230204157,457868280041,24272.55,24515.65,24257.3,24482.52,209.97000000000116,8138704080.4,7465986089.7,,24316.696000000004,24085.196,,0.0068193474968802036,0.016496606463156892,,6378491052,4638950093,0,1731672993,985643242,-977775276,249893217.0
