date,stock_id,Trading_Volume,Volume_Change,Trading_money,open,max,min,close,close-open,max-min,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,date2,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險),融資餘額(億),融資增減(億),資金走向,資金走向判讀
2025-08-06,TAIEX,6009196963,,361183155977,23443.36,23557.49,23433.53,23447.36,4.0,123.96000000000276,,,,,,,,,,2025-08-06,-11497677168,-10820572461,0,1809040245,-966087319,-1520057633,2360.36183,,,
2025-08-07,TAIEX,7106666762,0.18263169035020363,467380441728,23717.35,24050.54,23717.35,24003.77,286.4200000000019,333.1900000000023,,,,,,,,,,2025-08-07,49874740763,43239484056,0,1116606178,441533492,5077117037,2375.14928,14.787450000000263,-227.11485762999837,偏重小型股(空)
2025-08-08,TAIEX,7010275195,-0.013563541140751747,432109965420,24026.65,24131.46,23967.99,24021.26,-5.390000000003056,163.46999999999753,,,,,,,,,,2025-08-08,-3825548099,-3256238186,0,-1861859628,-164152695,1456702410,2386.13969,10.990409999999883,21.875070989997063,偏重大型股(多)
2025-08-11,TAIEX,7230198655,0.031371587260491274,437210225957,23980.39,24249.05,23887.25,24135.5,155.11000000000058,361.7999999999993,,,,,,,,,,2025-08-11,17890746,-3985502559,0,428896562,2291157112,1283339631,2425.09549,38.95580000000018,115.9752925400004,偏重大型股(多)
2025-08-12,TAIEX,7513604403,0.039197505009632407,430747663190,24182.84,24263.92,24065.43,24158.36,-24.479999999999563,198.48999999999796,6973988395.6,,,23953.25,,,0.00856292987381673,,,2025-08-12,-5314078018,-5731106152,0,-61610845,34046489,444592490,2432.66443,7.568939999999657,21.09184018000078,偏重大型股(多)
2025-08-13,TAIEX,8864976375,0.17985668389201193,573873489672,24232.04,24406.94,24172.19,24370.02,137.97999999999956,234.75,7545144278.0,,,24137.782,,,0.009621347976379984,,,2025-08-13,8411234610,7036580411,0,-1502399863,-46578231,2923632293,2423.8393,-8.825129999999717,62.692783899999284,偏重大型股(多)
2025-08-14,TAIEX,7941972349,-0.10411804690229645,486603622585,24258.5,24389.51,24198.88,24238.1,-20.400000000001455,190.62999999999738,7712205395.4,,,24184.647999999997,,,0.0022101624137759266,,,2025-08-14,-2621008838,-4460109509,0,-2045083709,1450404712,2433779668,2450.37336,26.534059999999954,-20.72397162000141,偏重小型股(空)
2025-08-15,TAIEX,7913302231,-0.0036099493602001712,454217776031,24266.23,24385.56,24164.43,24334.48,68.25,221.13000000000102,7892810802.6,,,24247.291999999998,,,0.0035957829847556556,,,2025-08-15,4592053654,5373846115,0,-3356859132,1867986315,707080356,2483.23607,32.86270999999988,-10.53324653999988,偏重小型股(空)
2025-08-18,TAIEX,8459665044,0.06904359230204157,457868280041,24272.55,24515.65,24257.3,24482.52,209.97000000000116,258.3500000000022,8138704080.4,,,24316.696,,,0.0068193474968803545,,,2025-08-18,6378491052,4638950093,0,1731672993,985643242,-977775276,2498.93217,15.696100000000115,130.48898948000107,偏重大型股(多)
2025-08-19,TAIEX,8279842992,-0.021256403304943904,477889208524,24493.92,24551.42,24324.29,24353.5,-140.41999999999825,227.12999999999738,8291951798.2,7632970096.9,,24355.724,24154.487,,-9.131323708539073e-05,0.008239173119263473,,2025-08-19,-18759116621,-11007665546,0,-1642414216,-1693738617,-4415298242,2501.96431,3.0321399999997993,44.13902621000196,偏重大型股(多)
2025-08-20,TAIEX,8611743600,0.04008537460440772,572237896405,24309.27,24309.27,23620.24,23625.44,-683.8300000000017,689.0299999999988,8241305243.2,7893224760.6,,24206.807999999997,24172.295000000002,,-0.02401671463664266,-0.022623213890116893,,2025-08-20,-69028137637,-62668571933,0,-2734736666,1915367105,-5540196143,2489.38691,-12.57739999999967,19.0287763699979,偏重大型股(多)
2025-08-21,TAIEX,6990398614,-0.18827139558590666,420673855060,23739.83,24011.5,23739.83,23962.13,222.29999999999927,271.66999999999825,8050990496.2,7881597945.8,,24151.614,24168.131,,-0.007845604024642011,-0.008523662835160907,,2025-08-21,-6068325600,-10078910548,0,1604056355,1099230232,1307298361,2517.06436,27.67744999999968,255.3058059999996,偏重大型股(多)
2025-08-22,TAIEX,6571719689,-0.059893426415124885,369732364563,24033.02,24071.65,23764.47,23764.47,-268.5499999999993,307.1800000000003,7782673987.8,7837742395.2,,24037.612,24142.451999999997,,-0.011363108781354813,-0.01565632190135436,,2025-08-22,-18588523469,-16397993687,0,-1163084639,-573635339,-453809804,2515.44566,-1.6186999999999898,-81.04606530999928,偏重小型股(空)
2025-08-25,TAIEX,7201907890,0.09589395634978673,431825644540,24108.81,24362.02,24108.75,24277.38,168.5699999999997,253.27000000000044,7531122557.0,7834913318.7,,23996.584000000003,24156.640000000003,,0.011701498846669111,0.004998211671821824,,2025-08-25,33080398090,24114791914,0,3231606250,1384604238,4349395688,2539.33965,23.89399000000003,-186.12797090000032,偏重小型股(空)
2025-08-26,TAIEX,8259451660,0.14684216823550628,532063118603,24237.36,24382.42,24113.03,24305.1,67.73999999999796,269.3899999999994,7527044290.6,7909498044.4,,23986.904000000002,24171.314000000002,,0.013265405156080011,0.005534908031892532,,2025-08-26,-13609501837,-14508100864,0,-2425226828,335292654,2988533201,2552.60819,13.26854000000003,190.56647836999792,偏重大型股(多)
2025-08-27,TAIEX,7675360712,-0.07071788443641064,467302614203,24449.81,24539.88,24410.08,24519.9,70.09000000000015,129.79999999999927,7339767713.0,7790536478.1,,24165.796000000002,24186.302000000003,,0.014653107226428598,0.013792848530544194,,2025-08-27,7469544072,-1947570889,0,-1647591422,2815259360,8249447023,2583.05814,30.44995000000017,-35.05539072000002,偏重小型股(空)
2025-08-28,TAIEX,7619400963,-0.007290829851489591,449197099212,24468.12,24502.37,24236.45,24236.45,-231.66999999999825,265.91999999999825,7465568182.8,7758279339.5,,24220.66,24186.137,,0.000651922779973827,0.0020802412555589976,,2025-08-28,-13629453740,-9520531049,0,-2760035692,-237115928,-1111771071,2602.32173,19.263590000000022,-114.63905259999828,偏重小型股(空)
2025-08-29,TAIEX,7716714041,0.01277174917983116,478348167874,24438.03,24570.15,24233.1,24233.1,-204.9300000000003,337.0500000000029,7694567053.2,7738620520.5,,24314.386,24175.999,,-0.0033431236963993275,0.002361887920329528,,2025-08-29,-8636365019,-8635002338,0,-335109173,443164972,-109418480,2623.27206,20.950329999999667,-139.51667980999997,偏重小型股(空)
2025-09-01,TAIEX,7882519521,0.02148653936365296,522538354934,24143.37,24312.83,23885.41,24071.73,-71.63999999999942,427.4200000000019,7830689379.4,7680905968.2,,24273.256,24134.920000000002,,-0.008302388439359007,-0.0026181980300743622,,2025-09-01,-21593857824,-7666900296,0,-3059842787,-2751433877,-8115680864,2591.46921,-31.80284999999958,176.10142824000016,偏重大型股(多)
2025-09-02,TAIEX,6868073676,-0.1286956337117075,420249878093,24113.9,24295.03,23890.33,24016.78,-97.12000000000262,404.6999999999971,7552413782.6,7539729036.6,7586349566.75,24215.591999999997,24101.248,24127.8675,-0.008210082165242877,-0.0035047147765958327,-0.004604115966734377,2025-09-02,1096898955,7786239530,0,-6102683470,-1077548032,490890927,2590.12511,-1.3441000000002532,-106.74488955000237,偏重小型股(空)
2025-09-03,TAIEX,6215237843,-0.09505370265337847,375154827165,24036.88,24103.23,23925.49,24100.3,63.419999999998254,177.73999999999796,7260389208.8,7300078460.9,7596651610.75,24131.672,24148.734,24160.5145,-0.0013000342454513468,-0.0020056537953501456,-0.002492268945680021,2025-09-03,9982870499,8199762036,0,-637699825,594424275,1826384013,2610.32905,20.203939999999875,-56.61264499000163,偏重小型股(空)
2025-09-04,TAIEX,7455297262,0.1995192220031667,450547881333,24235.27,24389.35,24168.16,24179.85,-55.42000000000189,221.1899999999987,7227568468.6,7346568325.7,7614083135.75,24120.352,24170.506,24169.3185,0.0024667135869327114,0.00038658685920755327,0.0004357383928718272,2025-09-04,11633833868,11808136125,0,-1545453579,-221496133,1592647455,2615.4166,5.087550000000192,-176.84588868000208,偏重小型股(空)
