日期,股票代號,開盤價,收盤價,收盤-開盤,最高價,最低價,日振幅,成交量,量增率(%),5日均量,5日最大量_日期,5日最大量,10日均量,10日最大量_日期,10日最大量,20日均量,20日最大量_日期,20日最大量,實體(漲跌率),上影(%),上影/實體,下影(%),下影/實體,跳空缺口,5日平均,10日平均,20日平均,5日乖離,10日乖離,20日乖離,總成交金額(億),法人總買超(億),買超-外資(億),買超-投信(億),買超-自營商(億),買超-融資(億),資金走向,資金走向判讀
2025-08-13,TAIEX,24232.04,24370.02,137.97999999999956,24406.94,24172.19,234.75,8864976375,,,,,,,,,,,0.005694114073763478,0.0015126845069475426,0.26757501087112895,0.002475985833306878,0.43375851572693414,,,,,,,,5738.73489672,84.1123461,70.36580411,-15.02399863,28.77054062,,,
2025-08-14,TAIEX,24258.5,24238.1,-20.400000000001455,24389.51,24198.88,190.62999999999738,7941972349,-0.10411804690229645,,,,,,,,,,-0.0008409423501041472,0.005371571630590299,6.422058823528875,0.0016207361663018091,1.9225490196075847,,,,,,,,4866.03622585,-26.21008838,-44.60109509,-20.45083709,38.8418438,26.534059999999954,-20.72397162000141,偏重小型股(空)
2025-08-15,TAIEX,24266.23,24334.48,68.25,24385.56,24164.43,221.13000000000102,7913302231,-0.0036099493602001712,,,,,,,,,,0.0028125506104574134,0.002094682262781816,0.748424908424934,0.004212803695348878,1.491575091575081,,,,,,,,4542.17776031,45.92053654,53.73846115,-33.56859132,25.750666709999997,32.86270999999988,-10.53324653999988,偏重小型股(空)
2025-08-18,TAIEX,24272.55,24482.52,209.97000000000116,24515.65,24257.3,258.3500000000022,8459665044,0.06904359230204157,,,,,,,,,,0.008650512616103424,0.001351381668444484,0.15778444539696546,0.0006286767282426321,0.07262942325094021,,,,,,,,4578.68280041,63.78491052,46.38950093,17.31672993,0.0786796600000006,15.696100000000115,130.48898948000107,偏重大型股(多)
2025-08-19,TAIEX,24493.92,24353.5,-140.41999999999825,24551.42,24324.29,227.12999999999738,8279842992,-0.021256403304943904,8291951798.2,2025-08-13,8864976375.0,,,,,,,-0.005732851254515336,0.002342023394166203,0.409485828229602,0.001200857250098528,0.20801880074063162,,24355.724,,,-9.131323708539073e-05,,,4778.89208524,-187.59116621,-110.07665546,-16.42414216,-61.09036859,3.0321399999997993,44.13902621000196,偏重大型股(多)
2025-08-20,TAIEX,24309.27,23625.44,-683.8300000000017,24309.27,23620.24,689.0299999999988,8611743600,0.04008537460440772,8241305243.2,2025-08-20,8611743600.0,,,,,,,-0.028130421028685838,0.0,0.0,0.00022015017628936409,0.007604229121268556,-44.22999999999956,24206.807999999997,,,-0.02401671463664266,,,5722.37896405,-690.28137637,-626.68571933,-27.34736666,-36.24829038,-12.57739999999967,19.0287763699979,偏重大型股(多)
2025-08-21,TAIEX,23739.83,23962.13,222.29999999999927,24011.5,23739.83,271.66999999999825,6990398614,-0.18827139558590666,8050990496.2,2025-08-20,8611743600.0,,,,,,,0.009364009767550958,0.002056098119650958,0.22208726945568666,0.0,0.0,,24151.614,,,-0.007845604024642011,,,4206.7385506,-60.683256,-100.78910548,16.04056355,24.06528593,27.67744999999968,255.3058059999996,偏重大型股(多)
2025-08-22,TAIEX,24033.02,23764.47,-268.5499999999993,24071.65,23764.47,307.1800000000003,6571719689,-0.059893426415124885,7782673987.8,2025-08-20,8611743600.0,,,,,,,-0.011174209483452319,0.0016047923594768542,0.14384658350400717,0.0,0.0,,24037.612,,,-0.011363108781354813,,,3697.32364563,-185.88523469,-163.97993687,-11.63084639,-10.27445143,-1.6186999999999898,-81.04606530999928,偏重小型股(空)
2025-08-25,TAIEX,24108.81,24277.38,168.5699999999997,24362.02,24108.75,253.27000000000044,7201907890,0.09589395634978673,7531122557.0,2025-08-20,8611743600.0,,,,,,,0.006992049794245328,0.0034742603445855236,0.5021059500504216,2.4887229740782774e-06,0.00035593521979776813,75.79000000000087,23996.584000000003,,,0.011701498846669111,,,4318.2564454,330.8039809,241.14791914,32.3160625,57.33999926,23.89399000000003,-186.12797090000032,偏重小型股(空)
2025-08-26,TAIEX,24237.36,24305.1,67.73999999999796,24382.42,24113.03,269.3899999999994,8259451660,0.14684216823550628,7527044290.6,2025-08-20,8611743600.0,7909498044.4,2025-08-13,8864976375.0,,,,0.0027948588460128478,0.0031711372374030023,1.1414230882787428,0.005156133426616305,1.835400059049387,,23986.904000000002,24171.314000000002,,0.013265405156080011,0.005534908031892532,,5320.63118603,-136.09501837,-145.08100864,-24.25226828,33.23825855,13.26854000000003,190.56647836999792,偏重大型股(多)
2025-08-27,TAIEX,24449.81,24519.9,70.09000000000015,24539.88,24410.08,129.79999999999927,7675360712,-0.07071788443641064,7339767713.0,2025-08-26,8259451660.0,7790536478.1,2025-08-20,8611743600.0,,,,0.0028666889435950684,0.000814184910439642,0.2850620630617709,0.0016276063003480348,0.5668426309031172,144.71000000000276,24165.796000000002,24186.302000000003,,0.014653107226428598,0.013792848530544194,,4673.02614203,74.69544072,-19.47570889,-16.47591422,110.64706383000001,30.44995000000017,-35.05539072000002,偏重小型股(空)
2025-08-28,TAIEX,24468.12,24236.45,-231.66999999999825,24502.37,24236.45,265.91999999999825,7619400963,-0.007290829851489591,7465568182.8,2025-08-26,8259451660.0,7758279339.5,2025-08-20,8611743600.0,,,,-0.009468238671381302,0.0013978239656000624,0.14783959943022515,0.0,0.0,,24220.66,24186.137,,0.000651922779973827,0.0020802412555589976,,4491.97099212,-136.2945374,-95.20531049,-27.60035692,-13.488869990000001,19.263590000000022,-114.63905259999828,偏重小型股(空)
