report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,date_distance,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251230,TAIEX,28486.38,-220.75,-0.007689727255911685,7,20251030_max|20251031_max|20251103_max|20251104_max|20251211_max|20251224_max|20251226_max,2025-12-24,-3,max,7899870510,191152304.79062667,0.3163265306122449,7119761951.7031555,107441772.86734371,0.38979591836734695,"12/24 max [28486] (dis： -221 , -0.77%) (vol_wei_pr ：38.98%)"
TAIEX-60-20251230,TAIEX,28443.48,-263.65000000000146,-0.009184129517649499,7,20251030_open|20251031_open|20251103_open|20251104_open|20251211_open|20251224_open|20251226_open,2025-12-26,-2,open,8057092373,191152304.79062667,0.3163265306122449,7517532999.868585,107441772.86734371,0.38979591836734695,"12/26 open [28443] (dis： -264 , -0.92%) (vol_wei_pr ：38.98%)"
TAIEX-60-20251230,TAIEX,28417.09,-290.0400000000009,-0.010103413333203314,8,20251030_max|20251031_max|20251103_max|20251104_max|20251210_max|20251211_max|20251224_max|20251226_max,2025-12-10,-13,max,8239950462,227559102.21915996,0.3408163265306122,5251158214.963182,130643108.15194207,0.536734693877551,"12/10 max [28417] (dis： -290 , -1.01%) (vol_wei_pr ：53.67%)"
TAIEX-60-20251230,TAIEX,28404.34,-302.7900000000009,-0.010547553865537964,8,20251030_min|20251031_min|20251103_min|20251104_min|20251210_min|20251211_min|20251224_min|20251226_min,2025-12-26,-2,min,8057092373,227559102.21915996,0.3408163265306122,7517532999.868585,130643108.15194207,0.536734693877551,"12/26 min [28404] (dis： -303 , -1.05%) (vol_wei_pr ：53.67%)"
TAIEX-60-20251230,TAIEX,28400.73,-306.40000000000146,-0.010673306596653913,7,20251030_close|20251031_close|20251103_close|20251104_close|20251210_close|20251211_close|20251224_close,2025-12-10,-13,close,8239950462,184373743.51733217,0.31020408163265306,5251158214.963182,90349743.73178557,0.33877551020408164,"12/10 close [28401] (dis： -306 , -1.07%) (vol_wei_pr ：33.88%)"
TAIEX-60-20251230,TAIEX,28395.31,-311.8199999999997,-0.010862109866085523,8,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251210_max|20251211_max|20251224_max,2025-10-29,-43,max,9076231278,219874921.94962507,0.3346938775510204,2044989409.515097,98348607.10311897,0.37142857142857144,"10/29 max [28395] (dis： -312 , -1.09%) (vol_wei_pr ：37.14%)"
TAIEX-60-20251230,TAIEX,28390.24,-316.8899999999994,-0.011038721042472704,9,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251209_max|20251210_max|20251211_max|20251224_max,2025-12-09,-14,max,8116345692,254713509.28705034,0.38571428571428573,4996196827.740939,119794273.187769,0.4387755102040816,"12/09 max [28390] (dis： -317 , -1.10%) (vol_wei_pr ：43.88%)"
TAIEX-60-20251230,TAIEX,28385.23,-321.90000000000146,-0.011213242145766624,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025-12-11,-12,open,8087246896,254713509.28705034,0.38571428571428573,5335593127.822767,119794273.187769,0.4387755102040816,"12/11 open [28385] (dis： -322 , -1.12%) (vol_wei_pr ：43.88%)"
TAIEX-60-20251230,TAIEX,28383.61,-323.52000000000044,-0.011269674119286756,9,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251224_open,2025-12-24,-3,open,7899870510,254713509.28705034,0.38571428571428573,7119761951.7031555,119794273.187769,0.4387755102040816,"12/24 open [28384] (dis： -324 , -1.13%) (vol_wei_pr ：43.88%)"
TAIEX-60-20251230,TAIEX,28371.98,-335.15000000000146,-0.011674799953879104,9,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251224_close,2025-12-24,-3,close,7899870510,254713509.28705034,0.38571428571428573,7119761951.7031555,119794273.187769,0.4387755102040816,"12/24 close [28372] (dis： -335 , -1.17%) (vol_wei_pr ：43.88%)"
