日期,股票代號,開盤價,收盤價,收盤_開盤,最高價,最低價,日振幅,漲跌幅_pct,日振幅_昨收_pct,成交量,量增率_pct,實體_pct,上影_pct,下影_pct,K線型態,跳空缺口,5日平均,10日平均,20日平均,60日平均,5日扣抵值,5日扣抵影響_pct,10日扣抵值,10日扣抵影響_pct,20日扣抵值,20日扣抵影響_pct,60日扣抵值,60日扣抵影響_pct,5日乖離,10日乖離,20日乖離,60日乖離,總成交金額_億,法人總買超_億,買超_外資_億,買超_投信_億,買超_自營商_億,買超_融資_億,資金走向,資金走向判讀
2012-09-12,TAIEX,7518.68,7570.45,51.76999999999953,7571.42,7515.04,56.38000000000011,0.011398599623520194,0.0075322673086506324,3967303993.0,0.43094119668435393,0.9182334161049917,0.017204682511533394,0.06456190138347499,🟥 長紅K,21.450000000000728,7457.99,7432.776999999999,7446.260500000001,7307.938666666667,7326.72,0.03219491575797998,7371.44,0.026287737188674415,7490.21,0.010599105733476845,7334.63,0.03115006373465246,0.015079129899611026,0.018522417664353537,0.016678103055889404,0.03592139251670415,1051.00604466,51.91958321,29.79895016,7.07599945,15.0446336,7.472919999999931,-7.622503210000403,偏重小型股
2012-09-13,TAIEX,7577.16,7578.8,1.6400000000003274,7594.76,7557.28,37.48000000000047,0.0011029727427035862,0.00495082855048253,3400322253.0,-0.1429136111072898,0.043756670224127714,0.4258271077908174,0.5304162219850549,⬜ 十字線,,7508.406,7453.513000000001,7450.6900000000005,7312.0081666666665,7424.91,0.020305325381326903,7397.06,0.02398004961207576,7467.92,0.014630284477753748,7279.05,0.03955111627170528,0.009375358764563375,0.016809120746150083,0.017194380654677575,0.03648680735198855,828.39866139,59.11436895,50.76357493,4.24849083,4.10230319,-1.8118400000000747,-55.6625289499996,偏重小型股
2012-09-14,TAIEX,7660.38,7738.05,77.67000000000007,7738.05,7660.38,77.67000000000007,0.02101256135535969,0.010248324272971983,5124872491.0,0.5071725882682097,1.0,0.0,0.0,🟥 長紅K,81.57999999999993,7571.034,7487.611999999999,7464.1965,7319.658166666666,7482.74,0.032994100580895754,7450.53,0.0371566479927114,7431.91,0.039562938983335634,7222.05,0.06668346676488263,0.022059866591538295,0.03344697882315497,0.03668894568892984,0.057160023570317554,1348.00376984,190.17295789,157.66114186,6.93438929,25.57742674,-2.974219999999832,-109.52873789000009,偏重小型股
2012-09-17,TAIEX,7768.45,7762.22,-6.229999999999563,7778.06,7725.9,52.160000000000764,0.003123525952920965,0.006740716330341722,4785198269.0,-0.06627954599778159,0.11944018404906964,0.18424079754602074,0.6963190184049096,🟩 錘子線,,7626.93,7518.781,7480.7119999999995,7328.660999999999,7485.13,0.03569726186580645,7451.35,0.040049109661926596,7506.81,0.032904246465572974,7166.38,0.07676154502191385,0.0177384609534898,0.03237745586684867,0.03763117735317183,0.05915937440686657,1168.94241956,29.00170392,27.89985708,4.44097401,-3.33912717,8.982240000000047,-44.21394391999961,偏重小型股
2012-09-18,TAIEX,7740.57,7734.26,-6.309999999999491,7757.04,7714.43,42.60999999999967,-0.0036020622966110257,-0.005489408957746582,3698591552.0,-0.22707663422002294,0.14808730344988358,0.3865289838066271,0.46538371274348933,🟩 中實體K,,7676.755999999999,7547.072,7492.0845,7338.125666666666,7570.45,0.021179789663135246,7367.44,0.04742793751438413,7496.58,0.030730800360991264,7137.93,0.07710239893667913,0.007490664025273282,0.02480273144339952,0.03232418160793572,0.05398304026500514,948.39722951,29.17412557,24.90159564,-4.61310143,8.88563136,14.936909999999898,-50.42103556999939,偏重小型股
2012-09-19,TAIEX,7739.52,7781.91,42.38999999999942,7781.91,7726.35,55.55999999999949,0.006160899685296283,0.007183621962540629,4031872643.0,0.09011027206282875,0.7629589632829339,0.0,0.2370410367170661,🟥 長紅K,,7719.048000000001,7588.519,7506.351000000001,7348.858666666666,7578.8,0.026100276153283662,7326.72,0.05849335188918911,7505.17,0.03556196357963531,7183.01,0.07696054053567822,0.008143750369216407,0.02548468284786526,0.03671011387557007,0.05892769924908074,1012.50856362,70.89825689,71.54531083,-6.89041524,6.2433613,10.545620000000099,-39.05387689000068,偏重小型股
2012-09-20,TAIEX,7781.81,7727.55,-54.26000000000022,7785.47,7704.61,80.86000000000058,-0.006985431597127141,-0.01039076524914842,3664658312.0,-0.0910778597229615,0.6710363591392509,0.045263418253769824,0.2837002226069793,🟩 長黑K,,7748.798,7628.602000000001,7517.469999999999,7357.934333333334,7738.05,-0.0013587747733757789,7424.91,0.03916377118232821,7477.53,0.03235436846089646,7169.61,0.07220140924355074,-0.002742102710639714,0.012970659630689791,0.02794557211402252,0.05023361855680236,812.33738553,7.29862409,21.93335994,-5.97022977,-8.66450608,8.133089999999811,-69.69171409000003,偏重小型股
2012-09-21,TAIEX,7763.29,7754.59,-8.699999999999818,7765.01,7737.03,27.980000000000473,0.0034991685592458107,0.003620811253243327,3256330468.0,-0.1114231694297179,0.31093638313079597,0.06147248034311028,0.6275911365260938,🟩 中實體K,,7752.106,7661.57,7531.322999999999,7367.683999999999,7762.22,-0.0009839333865491416,7482.74,0.03505665676715344,7468.22,0.03692909618690348,7296.28,0.05910177069322819,0.0003204290550207103,0.01214111468015047,0.029645123439799456,0.05251392432140153,838.54009875,75.04534362,84.78265639,-6.43419948,-3.30311329,4.865060000000085,-88.6104036199999,偏重小型股
2012-09-24,TAIEX,7760.33,7768.3,7.970000000000255,7781.55,7706.95,74.60000000000036,0.001767985154598765,0.009620108864556394,3141880632.0,-0.035146873796962554,0.10683646112600825,0.1776139410187659,0.7155495978552259,🟥 錘子線,,7753.322,7690.126000000001,7546.327,7375.551,7734.26,0.004381911100240717,7485.13,0.036451990783054215,7361.94,0.05231002922132263,7345.16,0.05447008998107698,0.0019318170972391015,0.010165503140000445,0.029414707313902506,0.053250123278925164,745.48522766,31.14966183,38.40016654,-4.39340899,-2.85709572,10.404669999999896,-33.58433182999964,偏重小型股
2012-09-25,TAIEX,7766.44,7734.13,-32.30999999999949,7789.39,7720.44,68.95000000000073,-0.004398645778355634,-0.008875815815558194,3149063723.0,0.0022862393073881746,0.4686004350978847,0.33284989122553277,0.19854967367658252,🟩 中實體K,,7753.296,7715.026000000001,7564.936500000001,7382.033833333333,7781.91,-0.006177811854727002,7570.45,0.02116333705277779,7391.15,0.04434629363612979,7418.36,0.04082812158575049,-0.002471980948489541,0.002476206820300976,0.02236548846113902,0.0476963631725431,781.92830797,21.71907428,41.68417089,-10.06695062,-9.89814599,-0.26135999999996784,-53.767714279999524,偏重小型股
