report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251226,TAIEX,28350.37,-205.65,-0.007201634,10,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251209_max|20251210_max|20251211_max|20251223_max|20251224_max,2025/12/23,max,7965662925,312632966.3,0.565306122,7432226308,182433087.2,0.806122449,"12/23 max [28350] (dis： -206 , -0.72%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28350.24,-205.78,-0.007206186,10,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251209_open|20251210_open|20251211_open|20251223_open|20251224_open,2025/10/30,open,9446378341,312632966.3,0.565306122,2361594585,182433087.2,0.806122449,"10/30 open [28350] (dis： -206 , -0.72%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28334.59,-221.43,-0.007754232,10,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/11/3,close,8299689369,312632966.3,0.565306122,2223846703,182433087.2,0.806122449,"11/03 close [28335] (dis： -221 , -0.78%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28310.47,-245.55,-0.008598887,10,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/12/23,close,7965662925,312632966.3,0.565306122,7432226308,182433087.2,0.806122449,"12/23 close [28310] (dis： -246 , -0.86%) (vol_wei_pr ：80.61%)"
TAIEX-60-20251226,TAIEX,28303.78,-252.24,-0.008833164,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/12/8,close,7603908443,340045304.3,0.66122449,4845821158,199902430.6,0.930612245,"12/08 close [28304] (dis： -252 , -0.88%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251226,TAIEX,28303.78,-252.24,-0.008833164,11,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251223_max|20251224_max,2025/12/8,max,7603908443,340045304.3,0.66122449,4845821158,199902430.6,0.930612245,"12/08 max [28304] (dis： -252 , -0.88%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251226,TAIEX,28294.74,-261.28,-0.009149734,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/10/29,close,9076231278,340045304.3,0.66122449,2191765380,199902430.6,0.930612245,"10/29 close [28295] (dis： -261 , -0.91%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251226,TAIEX,28287.53,-268.49,-0.009402221,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251223_close|20251224_close,2025/10/30,close,9446378341,340045304.3,0.66122449,2361594585,199902430.6,0.930612245,"10/30 close [28288] (dis： -268 , -0.94%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251226,TAIEX,28280.59,-275.43,-0.009645252,11,20251029_min|20251030_min|20251031_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251223_min|20251224_min,2025/12/24,min,7899870510,340045304.3,0.66122449,7630771919,199902430.6,0.930612245,"12/24 min [28281] (dis： -275 , -0.96%) (vol_wei_pr ：93.06%)"
TAIEX-60-20251226,TAIEX,28280.47,-275.55,-0.009649454,10,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251223_open,2025/10/31,open,8339995492,301657284.9,0.526530612,2158526199,162822048.1,0.685714286,"10/31 open [28280] (dis： -276 , -0.96%) (vol_wei_pr ：68.57%)"
TAIEX-60-20251226,TAIEX,28272.06,-283.96,-0.009943963,11,20251029_max|20251030_max|20251031_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251212_max|20251223_max,2025/12/12,max,8508400161,344046683.9,0.693877551,6228513486,193852904.4,0.906122449,"12/12 max [28272] (dis： -284 , -0.99%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251226,TAIEX,28253.53,-302.49,-0.010592863,11,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251212_open|20251223_open,2025/11/3,open,8299689369,344046683.9,0.693877551,2223846703,193852904.4,0.906122449,"11/03 open [28254] (dis： -302 , -1.06%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251226,TAIEX,28253.14,-302.88,-0.01060652,11,20251029_open|20251030_open|20251031_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251212_open|20251223_open,2025/12/23,open,7965662925,344046683.9,0.693877551,7432226308,193852904.4,0.906122449,"12/23 open [28253] (dis： -303 , -1.06%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251226,TAIEX,28233.35,-322.67,-0.011299544,11,20251029_close|20251030_close|20251031_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251212_close|20251223_close,2025/10/31,close,8339995492,344046683.9,0.693877551,2158526199,193852904.4,0.906122449,"10/31 close [28233] (dis： -323 , -1.13%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251226,TAIEX,28233.35,-322.67,-0.011299544,11,20251029_min|20251030_min|20251031_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251212_min|20251223_min,2025/10/31,min,8339995492,344046683.9,0.693877551,2158526199,193852904.4,0.906122449,"10/31 min [28233] (dis： -323 , -1.13%) (vol_wei_pr ：90.61%)"
TAIEX-60-20251226,TAIEX,28216.892,-339.128,-0.011875885,10,20251029_5MA|20251030_5MA|20251103_5MA|20251104_5MA|20251208_5MA|20251209_5MA|20251210_5MA|20251211_5MA|20251212_5MA|20251223_5MA,2025/12/26,5MA,8057092373,311520669,0.540816327,8057092373,185434643.8,0.826530612,"12/26 5MA [28217] (dis： -339 , -1.19%) (vol_wei_pr ：82.65%)"
TAIEX-60-20251226,TAIEX,28212.84,-343.18,-0.012017781,10,20251029_min|20251030_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251212_min|20251223_min,2025/12/23,min,7965662925,311520669,0.540816327,7432226308,185434643.8,0.826530612,"12/23 min [28213] (dis： -343 , -1.20%) (vol_wei_pr ：82.65%)"
TAIEX-60-20251226,TAIEX,28198.02,-358,-0.012536761,9,20251029_close|20251030_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251212_close,2025/12/12,close,8508400161,253601211.9,0.363265306,6228513486,131393879.6,0.47755102,"12/12 close [28198] (dis： -358 , -1.25%) (vol_wei_pr ：47.76%)"
TAIEX-60-20251226,TAIEX,28196.33,-359.69,-0.012595943,10,20251027_max|20251029_max|20251030_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251212_max,2025/10/27,max,9337097751,299664841.7,0.514285714,2103765917,141772596.5,0.555102041,"10/27 max [28196] (dis： -360 , -1.26%) (vol_wei_pr ：55.51%)"
TAIEX-60-20251226,TAIEX,28190.76,-365.26,-0.012790998,10,20251027_open|20251029_open|20251030_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251212_open,2025/12/10,open,8239950462,299664841.7,0.514285714,5628052022,141772596.5,0.555102041,"12/10 open [28191] (dis： -365 , -1.28%) (vol_wei_pr ：55.51%)"
TAIEX-60-20251226,TAIEX,28190.76,-365.26,-0.012790998,10,20251027_min|20251029_min|20251030_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251212_min,2025/12/10,min,8239950462,299664841.7,0.514285714,5628052022,141772596.5,0.555102041,"12/10 min [28191] (dis： -365 , -1.28%) (vol_wei_pr ：55.51%)"
TAIEX-60-20251226,TAIEX,28187.7,-368.32,-0.012898156,10,20251027_max|20251029_max|20251030_max|20251103_max|20251104_max|20251111_max|20251208_max|20251209_max|20251211_max|20251212_max,2025/11/11,max,8924063428,285415867.8,0.463265306,2943843072,124215376.9,0.418367347,"11/11 max [28188] (dis： -368 , -1.29%) (vol_wei_pr ：41.84%)"
TAIEX-60-20251226,TAIEX,28182.6,-373.42,-0.013076752,10,20251027_close|20251029_close|20251030_close|20251103_close|20251104_close|20251111_close|20251208_close|20251209_close|20251211_close|20251212_close,2025/12/9,close,8116345692,285415867.8,0.463265306,5354791174,124215376.9,0.418367347,"12/09 close [28183] (dis： -373 , -1.31%) (vol_wei_pr ：41.84%)"
TAIEX-60-20251226,TAIEX,28168.75,-387.27,-0.013561764,11,20251027_max|20251029_max|20251030_max|20251103_max|20251104_max|20251111_max|20251208_max|20251209_max|20251211_max|20251212_max|20251222_max,2025/12/22,max,8984157012,334754969.4,0.616326531,8096975663,168682265,0.734693878,"12/22 max [28169] (dis： -387 , -1.36%) (vol_wei_pr ：73.47%)"
TAIEX-60-20251226,TAIEX,28157.91,-398.11,-0.013941369,11,20251027_open|20251029_open|20251030_open|20251103_open|20251104_open|20251111_open|20251208_open|20251209_open|20251211_open|20251212_open|20251222_open,2025/10/29,open,9076231278,334754969.4,0.616326531,2191765380,168682265,0.734693878,"10/29 open [28158] (dis： -398 , -1.39%) (vol_wei_pr ：73.47%)"
TAIEX-60-20251226,TAIEX,28157.27,-398.75,-0.013963781,11,20251027_min|20251029_min|20251030_min|20251103_min|20251104_min|20251111_min|20251208_min|20251209_min|20251211_min|20251212_min|20251222_min,2025/12/9,min,8116345692,334754969.4,0.616326531,5354791174,168682265,0.734693878,"12/09 min [28157] (dis： -399 , -1.40%) (vol_wei_pr ：73.47%)"
