buy,date,name,sell
6212764700,2025-09-09,Investment_Trust,7994831931
185461047499,2025-09-09,Foreign_Investor,149807352540
215288960620,2025-09-09,total,176762066777
233817774472,2025-09-10,total,176143730129
196817152317,2025-09-10,Foreign_Investor,147869208034
6121870834,2025-09-10,Investment_Trust,8849256074
7410176167,2025-09-10,Dealer_self,6001641066
0,2025-09-10,Foreign_Dealer_Self,0
23468575154,2025-09-10,Dealer_Hedging,13423624955
250319631815,2025-09-11,total,221818340787
214586290615,2025-09-11,Foreign_Investor,181586628884
6121937472,2025-09-11,Investment_Trust,12393593973
0,2025-09-11,Foreign_Dealer_Self,0
5778826830,2025-09-11,Dealer_self,9072043841
23832576898,2025-09-11,Dealer_Hedging,18766074089
6303371417,2025-09-12,Dealer_self,5082962805
0,2025-09-12,Foreign_Dealer_Self,0
16913595824,2025-09-12,Dealer_Hedging,13192010743
4643778791,2025-09-12,Investment_Trust,10453850825
173785310222,2025-09-12,Foreign_Investor,147246810215
201646056254,2025-09-12,total,175975634588
160690999491,2025-09-15,total,165394836715
138267824909,2025-09-15,Foreign_Investor,135721576320
3729987381,2025-09-15,Investment_Trust,11976816473
4539486510,2025-09-15,Dealer_self,4816193887
0,2025-09-15,Foreign_Dealer_Self,0
14153700691,2025-09-15,Dealer_Hedging,12880250035
199781978810,2025-09-16,total,176190692140
170110803690,2025-09-16,Foreign_Investor,143107272628
11189637449,2025-09-16,Investment_Trust,15703428144
0,2025-09-16,Foreign_Dealer_Self,0
3452555441,2025-09-16,Dealer_self,5004421528
15028982230,2025-09-16,Dealer_Hedging,12375569840
4721162709,2025-09-17,Dealer_self,5355807690
0,2025-09-17,Foreign_Dealer_Self,0
14877151760,2025-09-17,Dealer_Hedging,14828876625
4989297557,2025-09-17,Investment_Trust,10303574836
158949127114,2025-09-17,Foreign_Investor,164683139172
183536739140,2025-09-17,total,195171398323
164917830748,2025-09-18,Foreign_Investor,152764110032
6975748946,2025-09-18,Dealer_self,3125173528
0,2025-09-18,Foreign_Dealer_Self,0
17247818362,2025-09-18,Dealer_Hedging,11035911169
6575147307,2025-09-18,Investment_Trust,11562942372
195716545363,2025-09-18,total,178488137101
