day1,day2,day1_open,day1_close,day2_open,day2_close,oc_gap,oc_gap_size
2025-08-07,2025-08-08,20.59,21.11,21.23,21.28,21.11~21.23,0.12
2025-08-15,2025-08-18,21.92,21.97,22.0,22.26,21.97~22.00,0.03
2025-08-26,2025-08-27,22.04,22.38,22.5,22.81,22.38~22.50,0.12
2025-09-03,2025-09-04,22.7,22.8,22.95,23.01,22.80~22.95,0.15
2025-09-04,2025-09-05,22.95,23.01,23.45,23.48,23.01~23.45,0.44
2025-09-05,2025-09-08,23.45,23.48,23.86,23.61,23.48~23.61,0.13
2025-09-18,2025-09-19,23.52,23.85,24.19,24.19,23.85~24.19,0.34
