buy,date,name,sell
0,2025-09-04,Foreign_Dealer_Self,0
14850415158,2025-09-04,Dealer_Hedging,13257767703
6599860316,2025-09-04,Investment_Trust,8145313895
146420983028,2025-09-04,Foreign_Investor,134612846903
172718062739,2025-09-04,total,161084228871
173892069709,2025-09-05,total,140867258987
6958899870,2025-09-05,Investment_Trust,7392875478
148732666847,2025-09-05,Foreign_Investor,120451549938
0,2025-09-05,Foreign_Dealer_Self,0
13154079436,2025-09-05,Dealer_Hedging,9966813559
5046423556,2025-09-05,Dealer_self,3056020012
4391189521,2025-09-08,Dealer_self,4243166751
0,2025-09-08,Foreign_Dealer_Self,0
15465388075,2025-09-08,Dealer_Hedging,13015198585
5960733306,2025-09-08,Investment_Trust,7180859377
146233644681,2025-09-08,Foreign_Investor,131615119465
172050955583,2025-09-08,total,156054344178
185461047499,2025-09-09,Foreign_Investor,149807352540
6212764700,2025-09-09,Investment_Trust,7994831931
215288960620,2025-09-09,total,176762066777
0,2025-09-09,Foreign_Dealer_Self,0
5406345541,2025-09-09,Dealer_self,5999646841
18208802880,2025-09-09,Dealer_Hedging,12960235465
196817152317,2025-09-10,Foreign_Investor,147869208034
6121870834,2025-09-10,Investment_Trust,8849256074
233817774472,2025-09-10,total,176143730129
0,2025-09-10,Foreign_Dealer_Self,0
7410176167,2025-09-10,Dealer_self,6001641066
23468575154,2025-09-10,Dealer_Hedging,13423624955
5778826830,2025-09-11,Dealer_self,9072043841
0,2025-09-11,Foreign_Dealer_Self,0
23832576898,2025-09-11,Dealer_Hedging,18766074089
6121937472,2025-09-11,Investment_Trust,12393593973
214586290615,2025-09-11,Foreign_Investor,181586628884
250319631815,2025-09-11,total,221818340787
173785310222,2025-09-12,Foreign_Investor,147246810215
201646056254,2025-09-12,total,175975634588
4643778791,2025-09-12,Investment_Trust,10453850825
16913595824,2025-09-12,Dealer_Hedging,13192010743
0,2025-09-12,Foreign_Dealer_Self,0
6303371417,2025-09-12,Dealer_self,5082962805
4539486510,2025-09-15,Dealer_self,4816193887
0,2025-09-15,Foreign_Dealer_Self,0
14153700691,2025-09-15,Dealer_Hedging,12880250035
3729987381,2025-09-15,Investment_Trust,11976816473
138267824909,2025-09-15,Foreign_Investor,135721576320
160690999491,2025-09-15,total,165394836715
170110803690,2025-09-16,Foreign_Investor,143107272628
11189637449,2025-09-16,Investment_Trust,15703428144
199781978810,2025-09-16,total,176190692140
0,2025-09-16,Foreign_Dealer_Self,0
3452555441,2025-09-16,Dealer_self,5004421528
15028982230,2025-09-16,Dealer_Hedging,12375569840
158949127114,2025-09-17,Foreign_Investor,164683139172
4989297557,2025-09-17,Investment_Trust,10303574836
183536739140,2025-09-17,total,195171398323
0,2025-09-17,Foreign_Dealer_Self,0
4721162709,2025-09-17,Dealer_self,5355807690
14877151760,2025-09-17,Dealer_Hedging,14828876625
6975748946,2025-09-18,Dealer_self,3125173528
0,2025-09-18,Foreign_Dealer_Self,0
17247818362,2025-09-18,Dealer_Hedging,11035911169
6575147307,2025-09-18,Investment_Trust,11562942372
164917830748,2025-09-18,Foreign_Investor,152764110032
195716545363,2025-09-18,total,178488137101
255834137935,2025-09-19,Foreign_Investor,271579174378
16150637773,2025-09-19,Investment_Trust,18087965578
297649206127,2025-09-19,total,309916863251
0,2025-09-19,Foreign_Dealer_Self,0
5972014864,2025-09-19,Dealer_self,4625993727
19692415555,2025-09-19,Dealer_Hedging,15623729568
6901014040,2025-09-22,Dealer_self,3992117701
0,2025-09-22,Foreign_Dealer_Self,0
16843487192,2025-09-22,Dealer_Hedging,11988614719
6931709718,2025-09-22,Investment_Trust,12195826983
153604848339,2025-09-22,Foreign_Investor,160255656897
184281059289,2025-09-22,total,188432216300
178385961161,2025-09-23,Foreign_Investor,167747241954
9241256797,2025-09-23,Investment_Trust,10810885361
213235174106,2025-09-23,total,200960575002
0,2025-09-23,Foreign_Dealer_Self,0
