day1,day2,day1_open,day1_close,day2_open,day2_close,oc_gap,oc_gap_size
2025-08-11,2025-08-12,239.81,240.2,240.32,242.36,240.20~240.32,0.12
2025-08-26,2025-08-27,247.47,250.28,250.67,253.83,250.28~250.67,0.39
2025-09-05,2025-09-08,254.76,258.03,258.68,259.78,258.03~258.68,0.65
2025-09-25,2025-09-26,264.75,263.13,262.94,257.03,262.94~263.13,-0.19
