date,stock_id,Trading_Volume,Volume_Change,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-08-05,TPEx,1128122000,,105691322000,234.24,237.38,234.24,237.03,2.789999999999992,,,,,,,,,,19680053657,11487780180,0,3666838413,-756873802,5282308866
2025-08-06,TPEx,979946000,-0.13134749610414476,104183559000,236.97,237.23,236.05,236.05,-0.9199999999999875,,,,,,,,,,-11497677168,-10820572461,0,1809040245,-966087319,-1520057633
2025-08-07,TPEx,1153876000,0.17748937186334757,139318442000,236.45,240.12,236.45,239.54,3.0900000000000034,,,,,,,,,,49874740763,43239484056,0,1116606178,441533492,5077117037
2025-08-08,TPEx,1218944000,0.056390808024432436,138994829000,239.59,241.29,239.59,239.79,0.19999999999998863,,,,,,,,,,-3825548099,-3256238186,0,-1861859628,-164152695,1456702410
2025-08-11,TPEx,1181815000,-0.03045997191011236,125030600000,239.81,240.3,238.79,240.2,0.38999999999998636,1132540600.0,,,238.522,,,0.007034990483058156,,,17890746,-3985502559,0,428896562,2291157112,1283339631
2025-08-12,TPEx,1419853000,0.20141731150814637,148191660000,240.32,242.47,240.32,242.36,2.0400000000000205,1190886800.0,,,239.58800000000002,,,0.011569861595739316,,,-5314078018,-5731106152,0,-61610845,34046489,444592490
2025-08-13,TPEx,1675571000,0.18010174292690864,177993728000,242.77,246.09,242.13,243.33,0.5600000000000023,1330011800.0,,,241.044,,,0.00948374570617813,,,8411234610,7036580411,0,-1502399863,-46578231,2923632293
2025-08-14,TPEx,1282870000,-0.23436846304931275,147721275000,243.65,245.94,243.65,245.53,1.8799999999999955,1355810600.0,,,242.24200000000002,,,0.01357320365584821,,,-2621008838,-4460109509,0,-2045083709,1450404712,2433779668
2025-08-15,TPEx,1381077000,0.07655257352654594,166694851000,245.68,246.63,244.35,246.07,0.38999999999998636,1388237200.0,,,243.498,,,0.010562715094169162,,,4592053654,5373846115,0,-3356859132,1867986315,707080356
2025-08-18,TPEx,1327504000,-0.03879074084935163,160852124000,246.01,248.55,246.01,248.34,2.3300000000000125,1417375000.0,1274957800.0,,245.12600000000003,241.82399999999998,,0.013111624225908185,0.02694521635569679,,6378491052,4638950093,0,1731672993,985643242,-977775276
2025-08-19,TPEx,1240850000,-0.06527588617435427,159290245000,248.51,249.93,246.43,246.97,-1.539999999999992,1381574400.0,1286230600.0,,246.048,242.81799999999998,,0.003747236311613982,0.017099226581225507,,-18759116621,-11007665546,0,-1642414216,-1693738617,-4415298242
2025-08-20,TPEx,1110784000,-0.10482008300761575,133632245000,246.73,246.73,241.04,241.32,-5.409999999999997,1268617000.0,1299314400.0,,245.64600000000002,243.34500000000003,,-0.01761070809213267,-0.00832151883128905,,-69028137637,-62668571933,0,-2734736666,1915367105,-5540196143
2025-08-21,TPEx,1052598000,-0.05238282150265038,118175682000,241.77,246.94,241.77,245.68,3.9099999999999966,1222562600.0,1289186600.0,,245.676,243.959,,1.6281606669023833e-05,0.007054464069782232,,-6068325600,-10078910548,0,1604056355,1099230232,1307298361
2025-08-22,TPEx,998586000,-0.051313036885876656,116223102000,245.59,246.97,244.07,244.14,-1.450000000000017,1146064400.0,1267150800.0,,245.29000000000002,244.394,,-0.004688328101431098,-0.001039305383929307,,-18588523469,-16397993687,0,-1163084639,-573635339,-453809804
