date,stock_id,buy,name,sell
2025-09-03,00687B,1520000,Foreign_Investor,764000
2025-09-03,00687B,0,Foreign_Dealer_Self,0
2025-09-03,00687B,0,Investment_Trust,0
2025-09-03,00687B,45000,Dealer_self,5000
2025-09-03,00687B,4313000,Dealer_Hedging,11742284
2025-09-04,00687B,0,Foreign_Dealer_Self,0
2025-09-04,00687B,0,Investment_Trust,0
2025-09-04,00687B,0,Dealer_self,26000
2025-09-04,00687B,9912964,Dealer_Hedging,4683000
2025-09-04,00687B,18466000,Foreign_Investor,611000
2025-09-05,00687B,2367160,Foreign_Investor,2415002
2025-09-05,00687B,0,Foreign_Dealer_Self,0
2025-09-05,00687B,0,Investment_Trust,0
2025-09-05,00687B,52000,Dealer_self,72000
2025-09-05,00687B,9890815,Dealer_Hedging,9174732
2025-09-08,00687B,881080,Foreign_Investor,713000
2025-09-08,00687B,0,Foreign_Dealer_Self,0
2025-09-08,00687B,0,Investment_Trust,0
2025-09-08,00687B,60000,Dealer_self,110000
2025-09-08,00687B,8079000,Dealer_Hedging,9447497
2025-09-09,00687B,4247050,Foreign_Investor,14748000
2025-09-09,00687B,0,Foreign_Dealer_Self,0
2025-09-09,00687B,0,Investment_Trust,0
2025-09-09,00687B,1585000,Dealer_self,20000
2025-09-09,00687B,22178616,Dealer_Hedging,14715109
2025-09-10,00687B,251435,Foreign_Investor,7205000
2025-09-10,00687B,0,Foreign_Dealer_Self,0
2025-09-10,00687B,0,Investment_Trust,0
2025-09-10,00687B,263000,Dealer_self,0
2025-09-10,00687B,7972801,Dealer_Hedging,12621460
2025-09-11,00687B,5601106,Foreign_Investor,2338000
2025-09-11,00687B,0,Foreign_Dealer_Self,0
2025-09-11,00687B,0,Investment_Trust,0
2025-09-11,00687B,0,Dealer_self,154000
2025-09-11,00687B,10920235,Dealer_Hedging,17044833
2025-09-12,00687B,691300,Foreign_Investor,2282000
2025-09-12,00687B,0,Foreign_Dealer_Self,0
2025-09-12,00687B,0,Investment_Trust,0
2025-09-12,00687B,53000,Dealer_self,43000
2025-09-12,00687B,4175000,Dealer_Hedging,8570987
2025-09-15,00687B,1331020,Foreign_Investor,6971000
2025-09-15,00687B,0,Foreign_Dealer_Self,0
2025-09-15,00687B,0,Investment_Trust,0
2025-09-15,00687B,21000,Dealer_self,90000
2025-09-15,00687B,2047418,Dealer_Hedging,17119546
2025-09-16,00687B,652040,Foreign_Investor,8960000
2025-09-16,00687B,0,Foreign_Dealer_Self,0
2025-09-16,00687B,0,Investment_Trust,0
2025-09-16,00687B,30000,Dealer_self,977000
2025-09-16,00687B,14610000,Dealer_Hedging,10602156
2025-09-17,00687B,7819020,Foreign_Investor,289000
2025-09-17,00687B,0,Foreign_Dealer_Self,0
2025-09-17,00687B,50000,Investment_Trust,0
2025-09-17,00687B,0,Dealer_self,40000
2025-09-17,00687B,5573000,Dealer_Hedging,13709614
2025-09-18,00687B,6994000,Foreign_Investor,62000
2025-09-18,00687B,0,Foreign_Dealer_Self,0
2025-09-18,00687B,0,Investment_Trust,0
2025-09-18,00687B,72000,Dealer_self,172000
2025-09-18,00687B,7743892,Dealer_Hedging,9310887
2025-09-19,00687B,9117050,Foreign_Investor,1805000
2025-09-19,00687B,0,Foreign_Dealer_Self,0
2025-09-19,00687B,100000,Investment_Trust,800000
2025-09-19,00687B,140000,Dealer_self,10000
